dataset,model_name,nr_gpus,batch_size,cached_emb_type,backwardMode,run_id,throughput,[D] Forward_Mean,[D] Backward_Mean,[D] Optimize_Mean,[D] AfterBackward_Mean
Freebase,TransE,2,1200,None,CppSync,run_61,107608.84185983948,6340.0,4019.0,5304.0,0.0
Freebase,TransE,2,1200,TorchNativeStdEmb,PySync,run_69,3471.227860074805,6382.0,667819.0,1491.0,0.0
Freebase,TransE,2,1600,KGExternelEmbedding,PySync,run_72,30455.59669176081,8271.0,81303.0,2385.0,0.0
Freebase,TransE,2,1600,KnownLocalCachedEmbedding,CppAsyncV2,run_71,60385.333912026115,4334.0,4608.0,1756.0,13296.0
Freebase,TransE,2,1600,KnownShardedCachedEmbedding,PySync,run_74,30958.853748439964,17422.0,67997.0,10062.0,0.0
Freebase,TransE,2,1600,None,CppSync,run_66,115041.70261719874,7592.0,4097.0,6278.0,0.0
Freebase,TransE,2,1600,TorchNativeStdEmb,PySync,run_73,3532.3129364338206,8052.0,883811.0,1856.0,0.0
Freebase,TransE,2,2000,KGExternelEmbedding,PySync,run_77,33547.75942901713,10305.0,92652.0,2985.0,0.0
Freebase,TransE,2,2000,KnownLocalCachedEmbedding,CppAsyncV2,run_75,77659.34727318617,4792.0,4264.0,2199.0,14311.0
Freebase,TransE,2,2000,KnownShardedCachedEmbedding,PySync,run_79,35461.936044398346,19467.0,75300.0,11076.0,0.0
Freebase,TransE,2,2000,None,CppSync,run_76,134984.64549657475,8112.0,4060.0,8334.0,0.0
Freebase,TransE,2,2000,TorchNativeStdEmb,PySync,run_78,3561.8878005342835,9035.0,1091000.0,2000.0,0.0
Freebase,TransE,4,1200,KGExternelEmbedding,PySync,run_82,53708.0964955467,7914.0,64923.0,2170.0,0.0
Freebase,TransE,4,1200,KnownLocalCachedEmbedding,CppAsyncV2,run_80,74653.56081932284,4332.0,4476.0,1684.0,23247.0
Freebase,TransE,4,1200,KnownShardedCachedEmbedding,PySync,run_84,38085.263383399586,20468.0,87336.0,11739.0,0.0
Freebase,TransE,4,1200,None,CppSync,run_81,191586.17386445278,7245.0,4048.0,5720.0,0.0
Freebase,TransE,4,1200,TorchNativeStdEmb,PySync,run_83,6496.415467423861,6211.0,690100.0,1571.0,0.0
Freebase,TransE,4,1600,KGExternelEmbedding,PySync,run_87,58425.07896514579,8747.0,77129.0,2577.0,0.0
Freebase,TransE,4,1600,KnownLocalCachedEmbedding,CppAsyncV2,run_85,74262.30839744258,5013.0,4048.0,2004.0,29651.0
Freebase,TransE,4,1600,KnownShardedCachedEmbedding,PySync,run_89,43535.63800117002,23391.0,99107.0,15082.0,0.0
Freebase,TransE,4,1600,None,CppSync,run_86,227636.4929752801,8348.0,4087.0,6830.0,0.0
Freebase,TransE,4,1600,TorchNativeStdEmb,PySync,run_88,6822.642217444003,7861.0,906115.0,1771.0,0.0
Freebase,TransE,4,2000,KGExternelEmbedding,PySync,run_92,57268.848609798704,9534.0,106283.0,2986.0,0.0
Freebase,TransE,4,2000,KnownLocalCachedEmbedding,CppAsyncV2,run_90,80683.38829889162,5313.0,5409.0,2296.0,32418.0
Freebase,TransE,4,2000,KnownShardedCachedEmbedding,PySync,run_94,45406.55897744429,26859.0,122064.0,17684.0,0.0
Freebase,TransE,4,2000,None,CppSync,run_91,224146.1432854221,10026.0,4077.0,8884.0,0.0
Freebase,TransE,4,2000,TorchNativeStdEmb,PySync,run_93,6557.377049180328,9509.0,1144000.0,2082.0,0.0
Freebase,TransE,6,1200,KGExternelEmbedding,PySync,run_97,71819.73247149655,6970.0,65001.0,1541.0,0.0
Freebase,TransE,6,1200,KnownLocalCachedEmbedding,CppAsyncV2,run_95,75127.5603368219,5937.0,4528.0,2130.0,37050.0
Freebase,TransE,6,1200,KnownShardedCachedEmbedding,PySync,run_99,42907.96836729221,28394.0,115130.0,15025.0,0.0
