num_workers,distribution,zipf_alpha,cache_ratio,batch_size,emb_choice,backwardMode,throughput
4,zipf,0.9,0.2,2048,KnownShardedCachedEmbedding,0,56101.0
4,zipf,0.9,0.2,2048,TorchNativeStdEmb,0,92969.0
4,zipf,0.9,0.2,4096,KGExternelEmbedding,0,138311.0
4,zipf,0.9,0.2,4096,KnownLocalCachedEmbedding,CppAsyncV2,436499.0
4,zipf,0.9,0.2,4096,KnownLocalCachedEmbedding,PySync,128728.0
4,zipf,0.9,0.2,4096,KnownShardedCachedEmbedding,0,87466.0
4,zipf,0.9,0.2,4096,TorchNativeStdEmb,0,183436.0
4,zipf,0.99,0.01,512,KGExternelEmbedding,0,188304.0
4,zipf,0.99,0.01,512,KnownLocalCachedEmbedding,CppAsyncV2,184787.0
4,zipf,0.99,0.01,512,KnownLocalCachedEmbedding,PySync,48182.0
4,zipf,0.99,0.01,512,KnownShardedCachedEmbedding,0,32167.0
4,zipf,0.99,0.01,512,TorchNativeStdEmb,0,42757.0
4,zipf,0.99,0.01,1024,KGExternelEmbedding,0,150416.0
4,zipf,0.99,0.01,1024,KnownLocalCachedEmbedding,CppAsyncV2,269402.0
4,zipf,0.99,0.01,1024,KnownLocalCachedEmbedding,PySync,93407.0
4,zipf,0.99,0.01,1024,KnownShardedCachedEmbedding,0,47755.0
4,zipf,0.99,0.01,1024,TorchNativeStdEmb,0,85481.0
4,zipf,0.99,0.01,2048,KGExternelEmbedding,0,94825.0
4,zipf,0.99,0.01,2048,KnownLocalCachedEmbedding,CppAsyncV2,401686.0
4,zipf,0.99,0.01,2048,KnownLocalCachedEmbedding,PySync,70069.0
4,zipf,0.99,0.01,2048,KnownShardedCachedEmbedding,0,33178.0
4,zipf,0.99,0.01,2048,TorchNativeStdEmb,0,92662.0
4,zipf,0.99,0.01,4096,KGExternelEmbedding,0,136983.0
4,zipf,0.99,0.01,4096,KnownLocalCachedEmbedding,CppAsyncV2,307900.0
4,zipf,0.99,0.01,4096,KnownLocalCachedEmbedding,PySync,144811.0
4,zipf,0.99,0.01,4096,KnownShardedCachedEmbedding,0,65053.0
4,zipf,0.99,0.01,4096,TorchNativeStdEmb,0,180022.0
4,zipf,0.99,0.01,6144,KGExternelEmbedding,0,169243.0
4,zipf,0.99,0.01,6144,KnownLocalCachedEmbedding,CppAsyncV2,495963.0
4,zipf,0.99,0.01,6144,KnownLocalCachedEmbedding,PySync,195791.0
4,zipf,0.99,0.01,6144,KnownShardedCachedEmbedding,0,96123.0
4,zipf,0.99,0.01,6144,TorchNativeStdEmb,0,268411.0
4,zipf,0.99,0.01,8192,KGExternelEmbedding,0,185725.0
4,zipf,0.99,0.01,8192,KnownLocalCachedEmbedding,CppAsyncV2,306483.0
4,zipf,0.99,0.01,8192,KnownLocalCachedEmbedding,PySync,235564.0
4,zipf,0.99,0.01,8192,KnownShardedCachedEmbedding,0,115915.0
4,zipf,0.99,0.01,8192,TorchNativeStdEmb,0,358421.0
4,zipf,0.99,0.05,512,KGExternelEmbedding,0,150411.0
4,zipf,0.99,0.05,512,KnownLocalCachedEmbedding,CppAsyncV2,165334.0
4,zipf,0.99,0.05,512,KnownLocalCachedEmbedding,PySync,49950.0
4,zipf,0.99,0.05,512,KnownShardedCachedEmbedding,0,47701.0
4,zipf,0.99,0.05,512,TorchNativeStdEmb,0,42779.0
4,zipf,0.99,0.05,1024,KGExternelEmbedding,0,162817.0
4,zipf,0.99,0.05,1024,KnownLocalCachedEmbedding,CppAsyncV2,281977.0
4,zipf,0.99,0.05,1024,KnownLocalCachedEmbedding,PySync,86437.0
4,zipf,0.99,0.05,1024,KnownShardedCachedEmbedding,0,60403.0
4,zipf,0.99,0.05,1024,TorchNativeStdEmb,0,85368.0
4,zipf,0.99,0.05,2048,KGExternelEmbedding,0,95916.0
4,zipf,0.99,0.05,2048,KnownLocalCachedEmbedding,CppAsyncV2,391156.0
4,zipf,0.99,0.05,2048,KnownLocalCachedEmbedding,PySync,74150.0
4,zipf,0.99,0.05,2048,KnownShardedCachedEmbedding,0,32627.0
4,zipf,0.99,0.05,2048,TorchNativeStdEmb,0,92973.0
4,zipf,0.99,0.05,4096,KGExternelEmbedding,0,138759.0
4,zipf,0.99,0.05,4096,KnownLocalCachedEmbedding,CppAsyncV2,332231.0
4,zipf,0.99,0.05,4096,KnownLocalCachedEmbedding,PySync,137010.0
4,zipf,0.99,0.05,4096,KnownShardedCachedEmbedding,0,65553.0
4,zipf,0.99,0.05,4096,TorchNativeStdEmb,0,183730.0
4,zipf,0.99,0.05,6144,KGExternelEmbedding,0,168981.0
4,zipf,0.99,0.05,6144,KnownLocalCachedEmbedding,CppAsyncV2,371738.0
4,zipf,0.99,0.05,6144,KnownLocalCachedEmbedding,PySync,191751.0
4,zipf,0.99,0.05,6144,KnownShardedCachedEmbedding,0,95375.0
4,zipf,0.99,0.05,6144,TorchNativeStdEmb,0,267566.0
4,zipf,0.99,0.05,8192,KGExternelEmbedding,0,182218.0
4,zipf,0.99,0.05,8192,KnownLocalCachedEmbedding,CppAsyncV2,349387.0
4,zipf,0.99,0.05,8192,KnownLocalCachedEmbedding,PySync,231206.0
4,zipf,0.99,0.05,8192,KnownShardedCachedEmbedding,0,118337.0
4,zipf,0.99,0.05,8192,TorchNativeStdEmb,0,362089.0
4,zipf,0.99,0.1,512,KGExternelEmbedding,0,0.0
4,zipf,0.99,0.1,512,KnownLocalCachedEmbedding,CppAsyncV2,177177.0
4,zipf,0.99,0.1,512,KnownLocalCachedEmbedding,PySync,48774.0
4,zipf,0.99,0.1,512,KnownShardedCachedEmbedding,0,48471.0
4,zipf,0.99,0.1,512,TorchNativeStdEmb,0,42524.0
4,zipf,0.99,0.1,1024,KGExternelEmbedding,0,149866.0
4,zipf,0.99,0.1,1024,KnownLocalCachedEmbedding,CppAsyncV2,262110.0
4,zipf,0.99,0.1,1024,KnownLocalCachedEmbedding,PySync,92640.0
4,zipf,0.99,0.1,1024,KnownShardedCachedEmbedding,0,94759.0
4,zipf,0.99,0.1,1024,TorchNativeStdEmb,0,85304.0
4,zipf,0.99,0.1,2048,KGExternelEmbedding,0,95670.0
4,zipf,0.99,0.1,2048,KnownLocalCachedEmbedding,CppAsyncV2,343537.0
4,zipf,0.99,0.1,2048,KnownLocalCachedEmbedding,PySync,74399.0
4,zipf,0.99,0.1,2048,KnownShardedCachedEmbedding,0,41971.0
4,zipf,0.99,0.1,2048,TorchNativeStdEmb,0,93056.0
4,zipf,0.99,0.1,4096,KGExternelEmbedding,0,142434.0
4,zipf,0.99,0.1,4096,KnownLocalCachedEmbedding,CppAsyncV2,306850.0
4,zipf,0.99,0.1,4096,KnownLocalCachedEmbedding,PySync,145199.0
4,zipf,0.99,0.1,4096,KnownShardedCachedEmbedding,0,83672.0
4,zipf,0.99,0.1,4096,TorchNativeStdEmb,0,184741.0
4,zipf,0.99,0.1,6144,KGExternelEmbedding,0,168357.0
4,zipf,0.99,0.1,6144,KnownLocalCachedEmbedding,CppAsyncV2,287852.0
4,zipf,0.99,0.1,6144,KnownLocalCachedEmbedding,PySync,204663.0
4,zipf,0.99,0.1,6144,KnownShardedCachedEmbedding,0,95952.0
4,zipf,0.99,0.1,6144,TorchNativeStdEmb,0,275444.0
4,zipf,0.99,0.1,8192,KGExternelEmbedding,0,182272.0
4,zipf,0.99,0.1,8192,KnownLocalCachedEmbedding,CppAsyncV2,329025.0
4,zipf,0.99,0.1,8192,KnownLocalCachedEmbedding,PySync,220976.0
4,zipf,0.99,0.1,8192,KnownShardedCachedEmbedding,0,115092.0
4,zipf,0.99,0.1,8192,TorchNativeStdEmb,0,366090.0
4,zipf,0.99,0.2,512,KGExternelEmbedding,0,185675.0
4,zipf,0.99,0.2,512,KnownLocalCachedEmbedding,CppAsyncV2,172987.0
4,zipf,0.99,0.2,512,KnownLocalCachedEmbedding,PySync,48728.0
4,zipf,0.99,0.2,512,KnownShardedCachedEmbedding,0,37411.0
4,zipf,0.99,0.2,512,TorchNativeStdEmb,0,42997.0
4,zipf,0.99,0.2,1024,KGExternelEmbedding,0,139040.0
4,zipf,0.99,0.2,1024,KnownLocalCachedEmbedding,CppAsyncV2,250980.0
4,zipf,0.99,0.2,1024,KnownLocalCachedEmbedding,PySync,95074.0
4,zipf,0.99,0.2,1024,KnownShardedCachedEmbedding,0,112958.0
4,zipf,0.99,0.2,1024,TorchNativeStdEmb,0,85360.0
4,zipf,0.99,0.2,2048,KGExternelEmbedding,0,96553.0
4,zipf,0.99,0.2,2048,KnownLocalCachedEmbedding,CppAsyncV2,320125.0
4,zipf,0.99,0.2,2048,KnownLocalCachedEmbedding,PySync,72585.0
4,zipf,0.99,0.2,2048,KnownShardedCachedEmbedding,0,56717.0
4,zipf,0.99,0.2,2048,TorchNativeStdEmb,0,92363.0
4,zipf,0.99,0.2,4096,KGExternelEmbedding,0,135565.0
4,zipf,0.99,0.2,4096,KnownLocalCachedEmbedding,CppAsyncV2,474170.0
4,zipf,0.99,0.2,4096,KnownLocalCachedEmbedding,PySync,146807.0
4,zipf,0.99,0.2,4096,KnownShardedCachedEmbedding,0,112188.0
4,zipf,0.99,0.2,4096,TorchNativeStdEmb,0,181618.0
8,uniform,0.0,0.01,512,KGExternelEmbedding,0,189568.0
8,uniform,0.0,0.01,512,KnownLocalCachedEmbedding,CppAsyncV2,132788.0
8,uniform,0.0,0.01,512,KnownLocalCachedEmbedding,PySync,66929.0
8,uniform,0.0,0.01,512,KnownShardedCachedEmbedding,0,27676.0
8,uniform,0.0,0.01,512,TorchNativeStdEmb,0,38359.0
8,uniform,0.0,0.01,1024,KGExternelEmbedding,0,221987.0
8,uniform,0.0,0.01,1024,KnownLocalCachedEmbedding,CppAsyncV2,166294.0
8,uniform,0.0,0.01,1024,KnownLocalCachedEmbedding,PySync,109264.0
8,uniform,0.0,0.01,1024,KnownShardedCachedEmbedding,0,52887.0
8,uniform,0.0,0.01,1024,TorchNativeStdEmb,0,75718.0
8,uniform,0.0,0.01,2048,KGExternelEmbedding,0,108453.0
8,uniform,0.0,0.01,2048,KnownLocalCachedEmbedding,CppAsyncV2,338848.0
8,uniform,0.0,0.01,2048,KnownLocalCachedEmbedding,PySync,231458.0
8,uniform,0.0,0.01,2048,KnownShardedCachedEmbedding,0,59170.0
8,uniform,0.0,0.01,2048,TorchNativeStdEmb,0,93012.0
8,uniform,0.0,0.01,4096,KGExternelEmbedding,0,163695.0
8,uniform,0.0,0.01,4096,KnownLocalCachedEmbedding,CppAsyncV2,396270.0
8,uniform,0.0,0.01,4096,KnownLocalCachedEmbedding,PySync,356926.0
